id,full_name,description,language,stargazers_count,forks_count,open_issues_count,pr_count
127407957,azl397985856/leetcode,LeetCode Solutions: A Record of My Problem Solving Journey.( leetcode题解，记录自己的leetcode解题之路。),JavaScript,55626,9480,11,104
53631945,BurntSushi/ripgrep,ripgrep recursively searches directories for a regex pattern while respecting your gitignore,Rust,55598,2251,100,139
19872456,remix-run/react-router,Declarative routing for React,TypeScript,55536,10722,124,101
264818686,ultralytics/yolov5,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,Python,55479,17208,293,109
29261473,minio/minio,"MinIO is a high-performance, S3 compatible object store, open sourced under GNU AGPLv3 license.",Go,55388,6181,64,160
519859998,toeverything/AFFiNE,"There can be more than Notion and Miro. AFFiNE(pronounced [ə‘fain]) is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. ",TypeScript,55280,3779,391,145
634224458,AntonOsika/gpt-engineer,CLI platform to experiment with codegen. Precursor to: https://lovable.dev,Python,54902,7301,50,120
180328715,pmndrs/zustand,🐻 Bear necessities for state management in React,TypeScript,54830,1806,5,133
130464961,sharkdp/bat,A cat(1) clone with wings.,Rust,54612,1355,335,121
220809393,Textualize/rich,Rich is a Python library for rich text and beautiful formatting in the terminal.,Python,53858,1895,304,104
348060227,withastro/astro,The web framework for content-driven websites. ⭐️ Star to support our work!,TypeScript,53504,2900,192,123
20619036,pi-hole/pi-hole,A black hole for Internet advertisements,Shell,53455,2883,55,136
130688011,meilisearch/meilisearch,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.,Rust,53358,2185,262,182
1362490,psf/requests,"A simple, yet elegant, HTTP library.",Python,53311,9541,280,114
737898780,maybe-finance/maybe,The personal finance app for everyone,Ruby,53267,4482,0,102
180190854,appwrite/appwrite,Build like a team of hundreds_,TypeScript,52831,4687,840,121
21938243,rust-unofficial/awesome-rust,A curated list of Rust code and resources.,Rust,52795,3029,11,106
17803236,rclone/rclone,"""rsync for cloud storage"" - Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Azure Blob, Azure Files, Yandex Files",Go,52698,4696,1166,142
323048702,OpenBB-finance/OpenBB,"Financial data platform for analysts, quants and AI agents.",Python,52505,4999,52,168
133251103,wagoodman/dive,A tool for exploring each layer in a docker image,Go,52112,1914,179,110
12256376,ionic-team/ionic-framework,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",TypeScript,52066,13430,597,123
1663468,mozilla/pdf.js,PDF Reader in JavaScript,JavaScript,51903,10455,471,144
137078487,vuejs/core,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.",TypeScript,51702,8891,1046,105
110446844,marktext/marktext,"📝A simple and elegant markdown editor, available for Linux, macOS and Windows.",JavaScript,51670,3788,1330,152
79162682,laurent22/joplin,"Joplin - the privacy-focused note taking app with sync capabilities for Windows, macOS, Linux, Android and iOS.",TypeScript,51513,5506,601,101
