name_with_owner,url,stargazer_count,primary_language,created_at,age,last_push,time_since_last_push,disk_usage_kb,size_formatted,name
gudaoxuri/dew,https://github.com/gudaoxuri/dew,398,Java,2017-03-27T01:38:07Z,"8 anos, 5 meses",2024-07-02T06:19:15Z,"1 anos, 2 meses",93168,91.0 MB,dew
MrZhousf/OkHttp3,https://github.com/MrZhousf/OkHttp3,398,Java,2016-06-29T01:17:35Z,"9 anos, 2 meses",2019-11-22T05:23:20Z,"5 anos, 9 meses",2083,2.0 MB,OkHttp3
pf4j/pf4j-spring,https://github.com/pf4j/pf4j-spring,396,Java,2014-06-16T13:38:58Z,"11 anos, 2 meses",2025-05-24T18:53:12Z,"3 meses, 19 dias",142,142 KB,pf4j-spring
opentracing-contrib/java-spring-cloud,https://github.com/opentracing-contrib/java-spring-cloud,395,Java,2017-07-11T14:56:50Z,"8 anos, 2 meses",2025-03-15T19:48:43Z,"5 meses, 29 dias",826,826 KB,java-spring-cloud
davidmoten/rxjava2-jdbc,https://github.com/davidmoten/rxjava2-jdbc,395,Java,2016-10-31T05:07:38Z,"8 anos, 10 meses",2025-09-10T17:09:46Z,0 dias,1455,1.4 MB,rxjava2-jdbc
apache/commons-csv,https://github.com/apache/commons-csv,394,Java,2013-06-12T07:00:17Z,"12 anos, 3 meses",2025-09-05T13:43:08Z,5 dias,39974,39.0 MB,commons-csv
RIPE-NCC/whois,https://github.com/RIPE-NCC/whois,393,Java,2013-05-07T10:38:10Z,"12 anos, 4 meses",2025-09-10T15:42:34Z,0 dias,28592,27.9 MB,whois
kangarko/Foundation,https://github.com/kangarko/Foundation,392,Java,2019-06-19T04:22:02Z,"6 anos, 2 meses",2025-09-02T18:16:45Z,8 dias,6918,6.8 MB,Foundation
NoCheatPlus/NoCheatPlus,https://github.com/NoCheatPlus/NoCheatPlus,392,Java,2012-08-18T20:31:32Z,"13 anos, 0 meses",2021-06-04T00:52:12Z,"4 anos, 3 meses",14801,14.5 MB,NoCheatPlus
shannah/jdeploy,https://github.com/shannah/jdeploy,392,Java,2016-12-18T07:52:56Z,"8 anos, 8 meses",2025-09-07T22:27:52Z,3 dias,453204,442.6 MB,jdeploy
Wikidata-Toolkit/Wikidata-Toolkit,https://github.com/Wikidata-Toolkit/Wikidata-Toolkit,391,Java,2014-01-22T16:15:09Z,"11 anos, 7 meses",2025-09-10T13:56:56Z,0 dias,18469,18.0 MB,Wikidata-Toolkit
ECharts-Java/ECharts-Java,https://github.com/ECharts-Java/ECharts-Java,391,Java,2021-11-23T19:39:21Z,"3 anos, 9 meses",2025-05-05T04:25:03Z,"4 meses, 8 dias",14981,14.6 MB,ECharts-Java
thorntail/thorntail,https://github.com/thorntail/thorntail,390,Java,2016-02-18T21:32:47Z,"9 anos, 6 meses",2020-12-02T16:49:38Z,"4 anos, 9 meses",21556,21.1 MB,thorntail
c-guntur/java-katas,https://github.com/c-guntur/java-katas,390,Java,2019-04-13T01:20:29Z,"6 anos, 5 meses",2022-11-27T17:24:59Z,"2 anos, 9 meses",7321,7.1 MB,java-katas
sachin-handiekar/jInstagram,https://github.com/sachin-handiekar/jInstagram,387,Java,2011-07-02T13:41:24Z,"14 anos, 2 meses",2019-03-20T17:35:55Z,"6 anos, 5 meses",6940,6.8 MB,jInstagram
